date,asset_id,close,adj_close
2021-08-19,000905.SH,6947.0564,6947.0564
2021-08-20,000905.SH,6920.0248,6920.0248
2021-08-23,000905.SH,7024.5647,7024.5647
2021-08-24,000905.SH,7090.7817,7090.7817
2021-08-25,000905.SH,7153.0043,7153.0043
2021-08-26,000905.SH,7118.8442,7118.8442
2021-08-27,000905.SH,7180.1088,7180.1088
2021-08-30,000905.SH,7226.8823,7226.8823
2021-08-31,000905.SH,7255.3418,7255.3418
2021-09-01,000905.SH,7193.1,7193.1
2021-09-02,000905.SH,7307.0084,7307.0084
2021-09-03,000905.SH,7278.6809,7278.6809
2021-09-06,000905.SH,7355.4013,7355.4013
2021-09-07,000905.SH,7498.9255,7498.9255
2021-09-08,000905.SH,7544.0411,7544.0411
2021-09-09,000905.SH,7617.4505,7617.4505
2021-09-10,000905.SH,7607.6749,7607.6749
2021-09-13,000905.SH,7648.7481,7648.7481
2021-09-14,000905.SH,7556.6157,7556.6157
2021-09-15,000905.SH,7592.3059,7592.3059
2021-09-16,000905.SH,7446.9353,7446.9353
2021-09-17,000905.SH,7395.5645,7395.5645
2021-09-22,000905.SH,7453.6247,7453.6247
2021-09-23,000905.SH,7502.8391,7502.8391
2021-09-24,000905.SH,7380.3843,7380.3843
2021-09-27,000905.SH,7170.5899,7170.5899
2021-09-28,000905.SH,7198.8966,7198.8966
2021-09-29,000905.SH,7010.2192,7010.2192
2021-09-30,000905.SH,7103.6076,7103.6076
2021-10-08,000905.SH,7091.3356,7091.3356
2021-10-11,000905.SH,7090.4673,7090.4673
2021-10-12,000905.SH,6952.1903,6952.1903
2021-10-13,000905.SH,6981.5947,6981.5947
2021-10-14,000905.SH,7008.3326,7008.3326
2021-10-15,000905.SH,7024.1596,7024.1596
2021-10-18,000905.SH,7068.1048,7068.1048
2021-10-19,000905.SH,7120.3794,7120.3794
2021-10-20,000905.SH,7118.7959,7118.7959
2021-10-21,000905.SH,7098.2542,7098.2542
2021-10-22,000905.SH,7026.0676,7026.0676
2021-10-25,000905.SH,7103.9856,7103.9856
2021-10-26,000905.SH,7102.4335,7102.4335
2021-10-27,000905.SH,7048.604,7048.604
2021-10-28,000905.SH,6950.2768,6950.2768
2021-10-29,000905.SH,7022.4992,7022.4992
2021-11-01,000905.SH,7060.756,7060.756
2021-11-02,000905.SH,6985.0998,6985.0998
2021-11-03,000905.SH,7017.8541,7017.8541
2021-11-04,000905.SH,7073.8522,7073.8522
2021-11-05,000905.SH,6991.9077,6991.9077
2021-11-08,000905.SH,7026.9715,7026.9715
2021-11-09,000905.SH,7081.7539,7081.7539
2021-11-10,000905.SH,7062.3313,7062.3313
2021-11-11,000905.SH,7119.8589,7119.8589
2021-11-12,000905.SH,7156.6127,7156.6127
2021-11-15,000905.SH,7098.2129,7098.2129
2021-11-16,000905.SH,7045.9387,7045.9387
2021-11-17,000905.SH,7104.5344,7104.5344
2021-11-18,000905.SH,7084.6827,7084.6827
2021-11-19,000905.SH,7169.8759,7169.8759
2021-11-22,000905.SH,7255.0736,7255.0736
2021-11-23,000905.SH,7261.3791,7261.3791
2021-11-24,000905.SH,7256.1117,7256.1117
2021-11-25,000905.SH,7233.5423,7233.5423
2021-11-26,000905.SH,7219.8622,7219.8622
2021-11-29,000905.SH,7221.8978,7221.8978
2021-11-30,000905.SH,7252.7552,7252.7552
2021-12-01,000905.SH,7272.837,7272.837
2021-12-02,000905.SH,7229.988,7229.988
2021-12-03,000905.SH,7301.9173,7301.9173
2021-12-06,000905.SH,7240.4558,7240.4558
2021-12-07,000905.SH,7206.8257,7206.8257
2021-12-08,000905.SH,7302.9905,7302.9905
2021-12-09,000905.SH,7320.3177,7320.3177
2021-12-10,000905.SH,7306.646,7306.646
2021-12-13,000905.SH,7353.0306,7353.0306
2021-12-14,000905.SH,7324.1331,7324.1331
2021-12-15,000905.SH,7314.2586,7314.2586
2021-12-16,000905.SH,7380.9974,7380.9974
2021-12-17,000905.SH,7314.5601,7314.5601
2021-12-20,000905.SH,7195.9732,7195.9732
2021-12-21,000905.SH,7275.4675,7275.4675
2021-12-22,000905.SH,7302.463,7302.463
2021-12-23,000905.SH,7337.19,7337.19
2021-12-24,000905.SH,7278.7556,7278.7556
2021-12-27,000905.SH,7272.7493,7272.7493
2021-12-28,000905.SH,7286.0336,7286.0336
2021-12-29,000905.SH,7247.7741,7247.7741
2021-12-30,000905.SH,7310.96,7310.96
2021-12-31,000905.SH,7359.4024,7359.4024
2022-01-04,000905.SH,7354.4562,7354.4562
2022-01-05,000905.SH,7222.6747,7222.6747
2022-01-06,000905.SH,7229.9601,7229.9601
2022-01-07,000905.SH,7175.676,7175.676
2022-01-10,000905.SH,7191.4511,7191.4511
2022-01-11,000905.SH,7135.2232,7135.2232
2022-01-12,000905.SH,7196.9327,7196.9327
2022-01-13,000905.SH,7097.7594,7097.7594
2022-01-14,000905.SH,7081.1408,7081.1408
2022-01-17,000905.SH,7157.8593,7157.8593
2022-01-18,000905.SH,7163.1586,7163.1586
2022-01-19,000905.SH,7118.762,7118.762
2022-01-20,000905.SH,7056.7854,7056.7854
2022-01-21,000905.SH,6976.6155,6976.6155
2022-01-24,000905.SH,6979.2456,6979.2456
2022-01-25,000905.SH,6743.9566,6743.9566
2022-01-26,000905.SH,6782.5763,6782.5763
2022-01-27,000905.SH,6605.9159,6605.9159
2022-01-28,000905.SH,6580.53,6580.53
2022-02-07,000905.SH,6676.6122,6676.6122
2022-02-08,000905.SH,6742.1921,6742.1921
2022-02-09,000905.SH,6843.0271,6843.0271
2022-02-10,000905.SH,6840.485,6840.485
2022-02-11,000905.SH,6745.0235,6745.0235
2022-02-14,000905.SH,6695.6958,6695.6958
2022-02-15,000905.SH,6760.2776,6760.2776
2022-02-16,000905.SH,6772.0336,6772.0336
2022-02-17,000905.SH,6768.7888,6768.7888
2022-02-18,000905.SH,6835.0217,6835.0217
2022-02-21,000905.SH,6867.1129,6867.1129
2022-02-22,000905.SH,6784.7622,6784.7622
2022-02-23,000905.SH,6887.4236,6887.4236
2022-02-24,000905.SH,6764.8756,6764.8756
2022-02-25,000905.SH,6819.4311,6819.4311
2022-02-28,000905.SH,6853.3081,6853.3081
2022-03-01,000905.SH,6874.0447,6874.0447
2022-03-02,000905.SH,6875.2404,6875.2404
2022-03-03,000905.SH,6859.5522,6859.5522
2022-03-04,000905.SH,6803.8337,6803.8337
2022-03-07,000905.SH,6659.3902,6659.3902
2022-03-08,000905.SH,6429.8888,6429.8888
2022-03-09,000905.SH,6305.6093,6305.6093
2022-03-10,000905.SH,6414.9402,6414.9402
2022-03-11,000905.SH,6474.1269,6474.1269
2022-03-14,000905.SH,6323.5779,6323.5779
2022-03-15,000905.SH,5964.9813,5964.9813
2022-03-16,000905.SH,6156.2714,6156.2714
2022-03-17,000905.SH,6267.5244,6267.5244
2022-03-18,000905.SH,6332.2166,6332.2166
2022-03-21,000905.SH,6358.943,6358.943
2022-03-22,000905.SH,6358.1093,6358.1093
2022-03-23,000905.SH,6398.1009,6398.1009
2022-03-24,000905.SH,6344.115,6344.115
2022-03-25,000905.SH,6268.2376,6268.2376
2022-03-28,000905.SH,6283.2814,6283.2814
2022-03-29,000905.SH,6253.0692,6253.0692
2022-03-30,000905.SH,6377.8744,6377.8744
2022-03-31,000905.SH,6324.9609,6324.9609
2022-04-01,000905.SH,6364.5206,6364.5206
2022-04-06,000905.SH,6356.9271,6356.9271
2022-04-07,000905.SH,6221.5908,6221.5908
2022-04-08,000905.SH,6224.1167,6224.1167
2022-04-11,000905.SH,6029.8935,6029.8935
2022-04-12,000905.SH,6126.9065,6126.9065
2022-04-13,000905.SH,6044.3263,6044.3263
2022-04-14,000905.SH,6126.4902,6126.4902
2022-04-15,000905.SH,6070.7489,6070.7489
2022-04-18,000905.SH,6074.0069,6074.0069
2022-04-19,000905.SH,6092.3963,6092.3963
2022-04-20,000905.SH,5956.9208,5956.9208
2022-04-21,000905.SH,5759.8013,5759.8013
2022-04-22,000905.SH,5740.9844,5740.9844
2022-04-25,000905.SH,5369.7171,5369.7171
2022-04-26,000905.SH,5234.0059,5234.0059
2022-04-27,000905.SH,5437.0374,5437.0374
2022-04-28,000905.SH,5418.7641,5418.7641
2022-04-29,000905.SH,5627.9021,5627.9021
2022-05-05,000905.SH,5686.7023,5686.7023
2022-05-06,000905.SH,5563.7693,5563.7693
2022-05-09,000905.SH,5608.5162,5608.5162
2022-05-10,000905.SH,5690.0868,5690.0868
2022-05-11,000905.SH,5737.8173,5737.8173
2022-05-12,000905.SH,5743.1007,5743.1007
2022-05-13,000905.SH,5796.8014,5796.8014
2022-05-16,000905.SH,5791.0809,5791.0809
2022-05-17,000905.SH,5816.3379,5816.3379
2022-05-18,000905.SH,5797.4896,5797.4896
2022-05-19,000905.SH,5838.4074,5838.4074
2022-05-20,000905.SH,5929.4882,5929.4882
2022-05-23,000905.SH,5965.7277,5965.7277
2022-05-24,000905.SH,5745.6751,5745.6751
2022-05-25,000905.SH,5844.2546,5844.2546
2022-05-26,000905.SH,5911.5607,5911.5607
2022-05-27,000905.SH,5899.915,5899.915
2022-05-30,000905.SH,5942.8317,5942.8317
2022-05-31,000905.SH,6026.2373,6026.2373
2022-06-01,000905.SH,6023.644,6023.644
2022-06-02,000905.SH,6078.4349,6078.4349
2022-06-06,000905.SH,6187.4441,6187.4441
2022-06-07,000905.SH,6186.5672,6186.5672
2022-06-08,000905.SH,6217.8276,6217.8276
2022-06-09,000905.SH,6130.6862,6130.6862
2022-06-10,000905.SH,6240.1032,6240.1032
2022-06-13,000905.SH,6233.6194,6233.6194
2022-06-14,000905.SH,6275.5652,6275.5652
2022-06-15,000905.SH,6261.0613,6261.0613
2022-06-16,000905.SH,6264.822,6264.822
2022-06-17,000905.SH,6316.3092,6316.3092
2022-06-20,000905.SH,6330.3942,6330.3942
2022-06-21,000905.SH,6277.0014,6277.0014
2022-06-22,000905.SH,6179.57,6179.57
2022-06-23,000905.SH,6300.4746,6300.4746
2022-06-24,000905.SH,6368.2827,6368.2827
2022-06-27,000905.SH,6407.7447,6407.7447
2022-06-28,000905.SH,6501.352,6501.352
2022-06-29,000905.SH,6374.2974,6374.2974
2022-06-30,000905.SH,6454.0778,6454.0778
2022-07-01,000905.SH,6438.5375,6438.5375
2022-07-04,000905.SH,6523.1311,6523.1311
2022-07-05,000905.SH,6511.5297,6511.5297
2022-07-06,000905.SH,6418.5453,6418.5453
2022-07-07,000905.SH,6452.9863,6452.9863
2022-07-08,000905.SH,6404.4393,6404.4393
2022-07-11,000905.SH,6319.1402,6319.1402
2022-07-12,000905.SH,6241.4793,6241.4793
2022-07-13,000905.SH,6268.4943,6268.4943
2022-07-14,000905.SH,6302.4319,6302.4319
2022-07-15,000905.SH,6196.7999,6196.7999
2022-07-18,000905.SH,6312.3557,6312.3557
2022-07-19,000905.SH,6335.7093,6335.7093
2022-07-20,000905.SH,6410.7088,6410.7088
2022-07-21,000905.SH,6347.5984,6347.5984
2022-07-22,000905.SH,6289.5325,6289.5325
2022-07-25,000905.SH,6231.2355,6231.2355
2022-07-26,000905.SH,6307.956,6307.956
2022-07-27,000905.SH,6332.2327,6332.2327
2022-07-28,000905.SH,6348.1655,6348.1655
2022-07-29,000905.SH,6294.1144,6294.1144
2022-08-01,000905.SH,6347.2211,6347.2211
2022-08-02,000905.SH,6169.9961,6169.9961
2022-08-03,000905.SH,6124.3146,6124.3146
2022-08-04,000905.SH,6158.7346,6158.7346
2022-08-05,000905.SH,6270.5113,6270.5113
2022-08-08,000905.SH,6323.0746,6323.0746
